icfes_puesto,cutoff,ingresa_u3
-1000,-850,0.33333334
-1000,-571,0
-999,-850,0.55555558
-999,-571,1
-998,-850,0.52941179
-998,-571,1
-997,-850,0.5
-996,-850,0.5625
-996,-571,1
-995,-850,0.375
-994,-850,0.46666667
-994,-571,1
-993,-850,0.55555558
-992,-850,0.3888889
-991,-850,0.2
-990,-850,0.69999999
-990,-571,1
-989,-850,0.5
-988,-850,0.66666669
-988,-571,1
-987,-850,0.36363637
-986,-850,0.30769232
-986,-571,0
-985,-850,0.75
-985,-571,0
-984,-850,0.36363637
-984,-571,0.5
-983,-850,0.5714286
-983,-571,1
-982,-850,0.60000002
-982,-571,0.5
-981,-850,0.5714286
-981,-571,1
-980,-850,0.65217394
-979,-850,0.33333334
-979,-571,1
-978,-850,0.54545456
-978,-571,0
-977,-850,0.38461539
-977,-571,0
-976,-850,0.35714287
-976,-571,1
-975,-850,0.5
-975,-571,1
-974,-850,0.40000001
-974,-571,1
-973,-850,0.75
-973,-571,0
-972,-850,0.64285713
-972,-571,0.5
-971,-850,0.46666667
-970,-850,0.36363637
-970,-571,0.33333334
-969,-850,0.47619048
-969,-571,1
-968,-850,0.83333331
-968,-571,0
-967,-850,0.38095239
-966,-850,0.58333331
-965,-850,0.63636363
-965,-571,0
-964,-850,0.57894737
-963,-850,0.30769232
-962,-850,0.41666666
-962,-571,0.33333334
-961,-850,0.27272728
-961,-571,0.5
-960,-850,0.5714286
-960,-571,1
-959,-850,0.23529412
-958,-850,0.40000001
-958,-571,1
-957,-850,0.42857143
-957,-571,0.66666669
-956,-850,0.41666666
-956,-571,0.5
-955,-850,0.52631581
-955,-571,0
-954,-850,0.52941179
-954,-571,1
-953,-850,0.55555558
-953,-571,0
-952,-850,0.47058824
-952,-571,0
-951,-850,0.375
-951,-571,1
-950,-850,0.5625
-949,-850,0.34999999
-948,-850,0.52631581
-948,-571,1
-947,-850,0.46666667
-946,-850,0.58333331
-946,-571,0.33333334
-945,-850,0.33333334
-944,-850,0.55555558
-943,-850,0.375
-943,-571,0
-942,-850,0.60000002
-942,-571,0.5
-941,-850,0.42857143
-941,-571,0
-940,-850,0.18181819
-940,-571,0.5
-939,-850,0.375
-938,-850,0.36363637
-937,-850,0.66666669
-936,-850,0.68421054
-935,-850,0.52631581
-935,-571,1
-934,-850,0.375
-934,-571,1
-933,-850,0.77777779
-933,-571,1
-932,-850,0.47058824
-932,-571,1
-931,-850,0.46666667
-930,-850,0.42105263
-930,-571,1
-929,-850,0.5
-929,-571,0
-928,-850,0.5
-927,-850,0.42857143
-926,-850,0.4375
-926,-571,1
-925,-850,0.2857143
-925,-571,0.5
-924,-850,0.63157892
-924,-571,1
-923,-850,0.42857143
-923,-571,0.5
-922,-850,0.41176471
-922,-571,0
-921,-850,0.27272728
-921,-571,1
-920,-850,0.47826087
-919,-850,0.5625
-918,-850,0.47368422
-918,-571,0
-917,-850,0.47058824
-917,-571,1
-916,-850,0.42857143
-916,-571,0.5
-915,-850,0.5714286
-914,-850,0.55555558
-914,-571,0.75
-913,-850,0.47368422
-912,-850,0.5
-911,-850,0.75
-910,-850,0.53846157
-910,-571,1
-909,-850,0.44444445
-909,-571,0.5
-908,-850,0.63636363
-908,-571,1
-907,-850,0.45454547
-907,-571,1
-906,-850,0.36363637
-906,-571,0.66666669
-905,-850,0.52173913
-905,-571,0.5
-904,-850,0.5
-903,-850,0.53333336
-903,-571,0.75
-902,-850,0.46666667
-902,-571,1
-901,-850,0.57894737
-900,-850,0.46153846
-899,-850,0.42857143
-899,-571,1
-898,-850,0.5
-898,-571,0.66666669
-897,-850,0.47999999
-897,-571,0.5
-896,-850,0.46666667
-896,-571,1
-895,-850,0.55555558
-894,-850,0.2857143
-894,-571,0.66666669
-893,-850,0.44444445
-893,-571,0.5
-892,-850,0.5
-892,-571,0.33333334
-891,-850,0.40000001
-891,-571,1
-890,-850,0.58823532
-890,-571,0
-889,-850,0.47619048
-889,-571,1
-888,-850,0.52380955
-888,-571,0
-887,-850,0.5
-887,-571,1
-886,-850,0.625
-885,-850,0.25
-885,-571,1
-884,-850,0.46666667
-883,-850,0.33333334
-883,-571,0
-882,-850,0.60000002
-882,-571,0
-881,-850,0.66666669
-881,-571,1
-880,-850,0.55555558
-880,-571,1
-879,-850,0.46666667
-878,-850,0.58333331
-877,-850,0.5
-877,-571,0.66666669
-876,-850,0.52941179
-876,-571,1
-875,-850,0.33333334
-875,-571,1
-874,-850,0.54166669
-874,-571,0.80000001
-873,-850,0.57894737
-873,-571,0.66666669
-872,-850,0.52173913
-871,-850,0.5625
-871,-571,0.5
-870,-850,0.26666668
-869,-850,0.53846157
-869,-571,1
-868,-850,0.84615386
-868,-571,0.5
-867,-850,0.66666669
-867,-571,1
-866,-850,0.70833331
-865,-850,0.625
-865,-571,0.5
-864,-850,0.69999999
-864,-571,0
-863,-850,0.35714287
-863,-571,1
-862,-850,0.7096774
-862,-571,0.5
-861,-850,0.2631579
-861,-571,1
-860,-850,0.64999998
-860,-571,1
-859,-850,0.40000001
-859,-571,1
-858,-850,0.60000002
-858,-571,1
-857,-850,0.53571427
-857,-571,0.5
-856,-850,0.40000001
-856,-571,0.5
-855,-850,0.29166666
-854,-850,0.51999998
-854,-571,0
-853,-850,0.55555558
-853,-571,0.66666669
-852,-850,0.73333335
-852,-571,1
-851,-850,0.60000002
-851,-571,0.66666669
-850,-850,0.69999999
-849,-850,0.71428573
-848,-850,0.80000001
-848,-571,0.5
-847,-850,0.77777779
-847,-571,1
-846,-850,0.5
-846,-571,1
-845,-850,0.54545456
-845,-571,0.5
-844,-850,0.33333334
-844,-571,0.5
-843,-850,1
-843,-571,0.5
-842,-850,0.66666669
-842,-571,0.5
-841,-850,0.60000002
-841,-571,1
-840,-850,0.33333334
-840,-571,1
-839,-850,0.5
